codes, ebits, ll_aht, d_aht, ratio
334, 91, 4077, 846, 3.200479
334, 91, 4084, 846, 3.198925
334, 91, 4087, 849, 3.200597
338, 89, 4090, 852, 3.199642
335, 91, 4093, 857, 3.198096
335, 91, 4098, 860, 3.197150
335, 91, 4104, 863, 3.193014
335, 91, 4109, 863, 3.184661
344, 91, 4114, 866, 3.192807
344, 91, 4117, 869, 3.185076
344, 91, 4122, 869, 3.182405
344, 91, 4127, 869, 3.183470
344, 91, 4130, 872, 3.185120
344, 91, 4135, 872, 3.182456
344, 91, 4138, 876, 3.184687
344, 91, 4141, 880, 3.183197
344, 91, 4148, 880, 3.181712
344, 91, 4151, 884, 3.183935
344, 91, 4156, 888, 3.183614
344, 91, 4160, 891, 3.178447
348, 91, 4163, 900, 3.180347
348, 91, 4168, 903, 3.179458
348, 91, 4172, 907, 3.174914
348, 91, 4175, 913, 3.172790
348, 91, 4181, 913, 3.170774
348, 91, 4186, 913, 3.171821
348, 91, 4190, 916, 3.174013
348, 91, 4196, 916, 3.170188
348, 91, 4200, 916, 3.170662
348, 91, 4206, 916, 3.172276
348, 91, 4212, 916, 3.173888
348, 91, 4218, 916, 3.175499
346, 91, 4221, 924, 3.178815
346, 91, 4224, 927, 3.176805
348, 91, 4230, 931, 3.178207
348, 91, 4235, 931, 3.168457
348, 91, 4239, 931, 3.168927
