bytes, codes, ebits, ll_aht, d_aht, ratio
37862, 522, 138, 139553, 11395, 4.004226
37865, 534, 138, 139556, 11402, 4.004490
37868, 534, 138, 139559, 11406, 4.004357
37871, 534, 138, 139562, 11411, 4.004251
37874, 534, 138, 139565, 11416, 4.004145
37879, 534, 138, 139571, 11420, 4.003881
37880, 534, 138, 139579, 11420, 4.003986
37883, 534, 138, 139582, 11425, 4.003880
37884, 534, 138, 139591, 11425, 4.004012
37885, 534, 138, 139599, 11425, 4.004118
37886, 534, 138, 139607, 11425, 4.004223
37887, 534, 138, 139616, 11425, 4.004355
37888, 534, 138, 139624, 11425, 4.004461
37889, 534, 138, 139632, 11425, 4.004566
37892, 534, 138, 139635, 11429, 4.004434
37893, 534, 138, 139644, 11429, 4.004565
37894, 534, 138, 139652, 11429, 4.004671
37895, 534, 138, 139660, 11429, 4.004776
37896, 534, 138, 139670, 11429, 4.004935
37897, 534, 138, 139678, 11429, 4.005040
37898, 534, 138, 139686, 11429, 4.005145
37899, 534, 138, 139695, 11429, 4.005277
37900, 534, 138, 139703, 11429, 4.005383
37901, 534, 138, 139711, 11429, 4.005488
37902, 534, 138, 139720, 11429, 4.005620
37903, 534, 138, 139728, 11429, 4.005725
37904, 534, 138, 139736, 11429, 4.005831
37905, 534, 138, 139745, 11429, 4.005962
37906, 534, 138, 139753, 11429, 4.006068
37907, 534, 138, 139761, 11429, 4.006173
37908, 534, 138, 139770, 11429, 4.006305
37909, 534, 138, 139778, 11429, 4.006410
37910, 534, 138, 139786, 11429, 4.006515
37913, 534, 138, 139789, 11433, 4.006383
37914, 534, 138, 139797, 11433, 4.006488
37915, 534, 138, 139805, 11433, 4.006594
37916, 534, 138, 139813, 11433, 4.006699
37917, 534, 138, 139821, 11433, 4.006804
37918, 534, 138, 139829, 11433, 4.006910
37919, 534, 138, 139837, 11433, 4.007015
37920, 534, 138, 139845, 11433, 4.007120
37921, 534, 138, 139853, 11433, 4.007226
37922, 534, 138, 139861, 11433, 4.007331
37923, 534, 138, 139868, 11433, 4.007410
37926, 534, 138, 139871, 11437, 4.007277
37927, 534, 138, 139879, 11437, 4.007383
37928, 534, 138, 139887, 11437, 4.007488
37931, 534, 138, 139890, 11444, 4.007435
37934, 534, 138, 139893, 11449, 4.007329
37937, 534, 138, 139896, 11454, 4.007223
37941, 534, 138, 139902, 11459, 4.007090
37942, 534, 138, 139911, 11459, 4.007222
37943, 534, 138, 139920, 11459, 4.007353
37944, 534, 138, 139929, 11459, 4.007485
37945, 534, 138, 139938, 11459, 4.007616
37946, 534, 138, 139947, 11459, 4.007748
37949, 534, 138, 139950, 11464, 4.007642
37952, 534, 138, 139953, 11469, 4.007536
37955, 534, 138, 139956, 11474, 4.007430
37956, 534, 138, 139965, 11474, 4.007561
37957, 534, 138, 139973, 11474, 4.007667
37958, 534, 138, 139980, 11474, 4.007745
37959, 545, 136, 139988, 11474, 4.008088
37960, 545, 136, 139996, 11474, 4.008193
37961, 545, 136, 140004, 11474, 4.008298
37962, 545, 136, 140012, 11474, 4.008403
37963, 548, 136, 140021, 11474, 4.008614
37964, 548, 136, 140029, 11474, 4.008719
37968, 548, 136, 140035, 11479, 4.008586
37969, 548, 136, 140043, 11479, 4.008691
37970, 548, 136, 140052, 11479, 4.008823
37976, 548, 136, 140058, 11483, 4.008453
37979, 548, 136, 140061, 11487, 4.008320
37983, 548, 136, 140067, 11491, 4.008162
37984, 548, 136, 140076, 11491, 4.008293
37987, 548, 136, 140079, 11495, 4.008161
37988, 548, 136, 140088, 11495, 4.008292
37991, 548, 136, 140091, 11496, 4.008081
37994, 548, 136, 140094, 11501, 4.007975
37995, 548, 136, 140102, 11501, 4.008080
37996, 548, 136, 140110, 11501, 4.008185
37997, 548, 136, 140118, 11501, 4.008290
37998, 548, 136, 140127, 11501, 4.008421
37999, 548, 136, 140136, 11501, 4.008553
38000, 548, 136, 140144, 11501, 4.008658
38001, 548, 136, 140153, 11501, 4.008789
38002, 548, 136, 140162, 11501, 4.008921
38006, 548, 136, 140168, 11506, 4.008788
38007, 548, 136, 140177, 11506, 4.008919
38008, 548, 136, 140185, 11506, 4.009024
38009, 548, 136, 140193, 11506, 4.009129
38013, 548, 136, 140199, 11511, 4.008997
38014, 548, 136, 140207, 11511, 4.009102
38015, 548, 136, 140214, 11511, 4.009181
38016, 548, 136, 140223, 11511, 4.009312
38017, 548, 136, 140231, 11511, 4.009417
38018, 548, 136, 140238, 11511, 4.009496
38042, 548, 136, 140246, 11516, 4.007308
38043, 548, 136, 140255, 11516, 4.007439
38044, 548, 136, 140263, 11516, 4.007544
38048, 548, 136, 140269, 11520, 4.007385
38049, 548, 136, 140278, 11520, 4.007517
38050, 548, 136, 140286, 11520, 4.007622
38051, 545, 136, 140293, 11520, 4.007621
38052, 545, 136, 140302, 11520, 4.007753
38053, 545, 136, 140310, 11520, 4.007857
38054, 545, 136, 140317, 11520, 4.007936
38055, 545, 136, 140326, 11520, 4.008067
38056, 545, 136, 140334, 11520, 4.008172
38057, 545, 136, 140341, 11520, 4.008251
38058, 545, 136, 140350, 11520, 4.008382
38059, 545, 136, 140358, 11520, 4.008487
38060, 545, 136, 140365, 11520, 4.008565
38061, 545, 136, 140374, 11520, 4.008697
38062, 545, 136, 140382, 11520, 4.008801
38067, 545, 136, 140388, 11524, 4.008538
38070, 545, 136, 140391, 11528, 4.008406
38075, 545, 136, 140397, 11532, 4.008142
38076, 545, 136, 140406, 11532, 4.008273
38077, 545, 136, 140414, 11532, 4.008378
38078, 545, 136, 140421, 11532, 4.008456
38079, 545, 136, 140429, 11532, 4.008561
38080, 545, 136, 140437, 11532, 4.008666
38081, 545, 136, 140445, 11532, 4.008771
38082, 545, 136, 140453, 11532, 4.008876
38083, 545, 136, 140461, 11532, 4.008980
38084, 545, 136, 140469, 11532, 4.009085
38085, 545, 136, 140477, 11532, 4.009190
38086, 545, 136, 140485, 11532, 4.009295
38099, 545, 136, 140495, 11536, 4.008294
38102, 545, 136, 140498, 11544, 4.008267
38114, 530, 135, 140506, 11552, 4.007005
38121, 530, 135, 140514, 11556, 4.006584
38139, 530, 135, 140524, 11559, 4.005034
38143, 530, 135, 140530, 11563, 4.004876
38144, 530, 135, 140538, 11563, 4.004981
38149, 530, 135, 140544, 11565, 4.004666
38150, 530, 135, 140552, 11565, 4.004771
38151, 530, 135, 140558, 11565, 4.004823
38152, 530, 135, 140566, 11565, 4.004928
38153, 530, 135, 140573, 11565, 4.005006
38157, 530, 135, 140579, 11567, 4.004796
38158, 530, 135, 140587, 11567, 4.004901
38159, 530, 135, 140594, 11567, 4.004979
38160, 530, 135, 140600, 11567, 4.005031
38161, 530, 135, 140608, 11567, 4.005136
38162, 530, 135, 140615, 11567, 4.005215
38163, 530, 135, 140621, 11567, 4.005267
38164, 530, 135, 140630, 11567, 4.005398
38165, 530, 135, 140638, 11567, 4.005502
38186, 530, 135, 140647, 11570, 4.003614
38187, 530, 135, 140656, 11570, 4.003745
38188, 530, 135, 140665, 11570, 4.003876
38189, 530, 135, 140673, 11570, 4.003980
38190, 530, 135, 140681, 11570, 4.004085
38191, 530, 135, 140689, 11570, 4.004189
38192, 530, 135, 140697, 11570, 4.004294
38193, 530, 135, 140703, 11570, 4.004346
38194, 530, 135, 140712, 11570, 4.004477
38195, 530, 135, 140721, 11570, 4.004608
38196, 530, 135, 140729, 11570, 4.004713
38197, 530, 135, 140737, 11570, 4.004817
38198, 530, 135, 140745, 11570, 4.004922
38199, 530, 135, 140754, 11570, 4.005052
38200, 530, 135, 140763, 11570, 4.005183
38201, 530, 135, 140770, 11570, 4.005262
38202, 530, 135, 140778, 11570, 4.005366
38203, 530, 135, 140786, 11570, 4.005471
38204, 527, 135, 140794, 11570, 4.005497
38205, 527, 135, 140800, 11570, 4.005549
38206, 527, 135, 140807, 11570, 4.005627
38207, 527, 135, 140815, 11570, 4.005732
38208, 527, 135, 140823, 11570, 4.005836
38209, 527, 135, 140831, 11570, 4.005941
38210, 527, 135, 140840, 11570, 4.006072
38211, 527, 135, 140849, 11570, 4.006202
38212, 527, 135, 140856, 11570, 4.006281
38213, 527, 135, 140865, 11570, 4.006411
38216, 527, 135, 140868, 11574, 4.006280
38217, 527, 135, 140874, 11574, 4.006332
38218, 527, 135, 140882, 11574, 4.006437
38219, 527, 135, 140892, 11574, 4.006594
38220, 527, 135, 140901, 11574, 4.006724
38221, 527, 135, 140909, 11574, 4.006829
38222, 527, 135, 140918, 11574, 4.006959
38223, 527, 135, 140924, 11574, 4.007011
38224, 527, 135, 140933, 11574, 4.007142
38225, 527, 135, 140940, 11574, 4.007220
38226, 527, 135, 140948, 11574, 4.007325
38227, 527, 135, 140957, 11574, 4.007455
38228, 527, 135, 140966, 11574, 4.007586
38229, 527, 135, 140975, 11574, 4.007717
38230, 527, 135, 140984, 11574, 4.007847
38231, 527, 135, 140995, 11574, 4.008030
38232, 527, 135, 141003, 11574, 4.008135
38233, 527, 135, 141012, 11574, 4.008265
38234, 527, 135, 141021, 11574, 4.008396
38235, 527, 135, 141029, 11574, 4.008500
38236, 527, 135, 141038, 11574, 4.008631
38237, 527, 135, 141047, 11574, 4.008761
38238, 527, 135, 141054, 11574, 4.008839
38239, 527, 135, 141063, 11574, 4.008970
38240, 527, 135, 141071, 11574, 4.009074
